cd_id,stable_2013,stable_2019,other_status_2019,year_stable
CD005969,n,y,Nil,
CD005970,n,y,Nil,
CD005971,n,y,Nil,
CD005972,n,y,Nil,
CD005990,y,y,Nil,2013
CD006011,n,y,Nil,
CD006043,n,y,Nil,
CD006044,n,y,Nil,
CD006111,y,n,Normal,2011
CD006142,n,y,Nil,
CD006145,n,y,Nil,
CD006146,n,y,Nil,
CD006148,y,y,Nil,2011
CD006160,n,y,Nil,
CD006203,n,y,Nil,
CD006204,n,y,Nil,
CD006226,y,y,Nil,2012
CD006227,y,y,Nil,2010
CD006271,n,y,Nil,
CD006273,n,y,Nil,
CD006274,n,y,Nil,
CD006275,n,y,Nil,
CD006276,n,y,Nil,
CD006312,n,y,Nil,
CD006380,n,y,Nil,
CD006409,n,y,Withdrawn,
CD006606,y,n,Normal,2011
CD006642,n,y,Nil,
CD006704,n,y,Nil,
CD006716,n,y,Nil,
CD006736,n,y,Nil,
CD006745,n,y,Nil,
CD006771,n,y,Nil,
CD006772,n,y,Nil,
CD006788,n,y,Nil,
CD006812,n,y,Nil,
CD006819,n,y,Nil,
CD006830,n,y,Nil,
CD006838,y,n,Normal,2012
CD006863,y,y,Nil,2012
CD006865,y,y,Nil,2012
CD006870,n,y,Nil,
CD006900,n,y,Nil,
CD006912,n,y,Nil,
CD006938,n,y,Nil,
CD006953,n,y,Nil,
CD006961,y,n,Normal,2011
CD007034,n,y,Nil,
CD007069,y,y,Nil,2012
CD007076,n,y,Nil,
CD007126,n,y,Nil,
CD007132,n,y,Nil,
CD007157,n,y,Nil,
CD007175,y,n,Normal,2012
CD007219,y,y,Nil,2013
CD007261,n,y,Nil,
CD007264,n,y,Nil,
CD007281,n,y,Nil,
CD007291,n,y,Nil,
CD007294,n,y,Nil,
CD007309,y,y,Nil,2012
CD007336,y,y,Nil,2012
CD007354,n,y,Nil,
CD007355,y,y,Nil,2011
CD007357,y,y,Nil,2010
CD007358,y,y,Nil,2010
CD007371,n,y,Nil,
CD007393,n,y,Nil,
CD007400,n,y,Nil,
CD007402,n,y,Nil,
CD007403,y,y,Nil,2011
CD007407,n,y,Nil,
CD007440,y,y,Nil,2010
CD007441,y,y,Nil,2011
CD007442,y,y,Nil,2010
CD007481,y,y,Nil,2012
CD007517,n,y,Nil,
CD007519,n,y,Nil,
CD007533,n,y,Nil,
CD007540,y,y,Nil,2010
CD007542,y,y,Nil,2010
CD007547,y,y,Nil,2010
CD007548,y,y,Nil,2010
CD007550,y,y,Nil,2010
CD007552,y,y,Nil,2011
CD007553,y,y,Nil,2011
CD007556,n,y,Nil,
CD007588,y,y,Nil,2010
CD007589,y,y,Nil,2010
CD007591,y,y,Nil,2010
CD007596,n,y,Nil,
CD007609,n,y,Nil,
CD007683,n,y,Nil,
